iter	Logloss
0	0.6893517719
1	0.6845880524
2	0.6812623187
3	0.6773407479
4	0.674374278
5	0.671470332
6	0.6685353101
7	0.6657668943
8	0.6615725882
9	0.658540369
10	0.6552822454
11	0.6523000205
12	0.6477481253
13	0.6444900637
14	0.6420964187
15	0.6391679717
16	0.6356763142
17	0.6320696575
18	0.6293465839
19	0.6258695649
20	0.6226334611
21	0.6199405329
22	0.617549245
23	0.6153934758
24	0.6130168884
25	0.6100016028
26	0.6068197111
27	0.6044947927
28	0.6016537426
29	0.5987022834
30	0.5964855411
31	0.5935677629
32	0.591091125
33	0.5886463072
34	0.586027316
35	0.5833396601
36	0.5808749935
37	0.5784144208
38	0.5758534253
39	0.5739473172
40	0.5716207241
41	0.5694620396
42	0.5673954661
43	0.5652922964
44	0.5630081921
45	0.5607296083
46	0.5587168128
47	0.5574176447
48	0.5549579403
49	0.5533567599
50	0.551237587
51	0.5491903662
52	0.5478378544
53	0.5458960184
54	0.5444177147
55	0.542332719
56	0.5405026568
57	0.5382593046
58	0.536797004
59	0.5349421928
60	0.5331725454
61	0.5316062865
62	0.5298670947
63	0.5284155869
64	0.5266743482
65	0.5244352759
66	0.5227899319
67	0.5211187843
68	0.5192965996
69	0.5178594202
70	0.5163889319
71	0.5149138846
72	0.5132858152
73	0.5118793395
74	0.5103996401
75	0.5087145363
76	0.507861936
77	0.5060711992
78	0.5048717096
79	0.5039102818
80	0.5023550638
81	0.5009502938
82	0.4996131649
83	0.4982361212
84	0.4970802369
85	0.495814998
86	0.494693539
87	0.4932226166
88	0.491926736
89	0.4908582486
90	0.4897355491
91	0.4886413822
92	0.4872762168
93	0.4862889856
94	0.4852414635
95	0.4840353369
96	0.4829038915
97	0.4819748421
98	0.480444125
99	0.4792846432
100	0.4782329342
101	0.4771183293
102	0.475751024
103	0.4745619239
104	0.4735633416
105	0.4723957961
106	0.4713790397
107	0.4706022681
108	0.4696784601
109	0.4684867239
110	0.4677129606
111	0.4665770492
112	0.4657065539
113	0.4646687391
114	0.4635780769
115	0.4627741062
116	0.4619442699
117	0.4609838036
118	0.4602840082
119	0.4591476316
120	0.4581822651
121	0.4570901762
122	0.4565585997
123	0.45524225
124	0.4543348793
125	0.4535526803
126	0.4528467752
127	0.4518497746
128	0.4509959027
129	0.4504131534
130	0.4493274224
131	0.448227673
132	0.4472100483
133	0.4463660698
134	0.4456031613
135	0.4447080411
136	0.4440016398
137	0.443170625
138	0.4426665888
139	0.4417813309
140	0.4407796472
141	0.4403384139
142	0.4394513882
143	0.4385848627
144	0.4375926692
145	0.436717739
146	0.4359756718
147	0.4351421139
148	0.4343792675
149	0.4333029026
150	0.432688085
151	0.4320494489
152	0.4316885723
153	0.4309024035
154	0.4301138157
155	0.4294419327
156	0.4284092043
157	0.4277901998
158	0.4272299666
159	0.426594804
160	0.4262451544
161	0.4255031183
162	0.4248788105
163	0.4238864309
164	0.4234983553
165	0.4228044215
166	0.4221172178
167	0.4212356815
168	0.4205595807
169	0.420061127
170	0.4195009557
171	0.4188914105
172	0.4182100063
173	0.4174354987
174	0.4167166919
175	0.4161554352
176	0.4154558259
177	0.4149331194
178	0.4143172163
179	0.4137548121
180	0.4129716206
181	0.4122471383
182	0.4116836176
183	0.4109910174
184	0.4104412048
185	0.4099431232
186	0.4091922171
187	0.4085573336
188	0.4079751116
189	0.4073892299
190	0.4068826815
191	0.4064476509
192	0.4060253671
193	0.4056556516
194	0.4051585004
195	0.4042960686
196	0.403995731
197	0.4034154008
198	0.4028040878
199	0.4019557674
200	0.4014917079
201	0.4009241244
202	0.4004842867
203	0.3998797657
204	0.39931854
205	0.3988763763
206	0.3981697889
207	0.3979311687
208	0.3974844149
209	0.397068675
210	0.39639214
211	0.3956457619
212	0.3950669203
213	0.3946792789
214	0.3942348201
215	0.3936688183
216	0.3931552298
217	0.392632151
218	0.3921913209
219	0.3914462764
220	0.3909187937
221	0.3904889735
222	0.3899360905
223	0.3891886269
224	0.3887834626
225	0.3884643307
226	0.3878488618
227	0.3876654462
228	0.3873131295
229	0.3869315357
230	0.3864231575
231	0.3859252309
232	0.385462443
233	0.3846902615
234	0.384244283
235	0.383700301
236	0.3832772728
237	0.3828229206
238	0.3822218422
239	0.3818049237
240	0.3812874585
241	0.3807480355
242	0.3801497793
243	0.3797858634
244	0.3795155471
245	0.3790027029
246	0.3786588219
247	0.3781358052
248	0.377753188
249	0.3773007587
250	0.3770039256
251	0.3764321552
252	0.3760209743
253	0.3755930459
254	0.3752725493
255	0.3748840704
256	0.374397588
257	0.3738505666
258	0.3735022196
259	0.3732754467
260	0.3729707051
261	0.3726474793
262	0.3721475989
263	0.3717273929
264	0.3709810148
265	0.3707462714
266	0.3703129776
267	0.3698514613
268	0.3693530695
269	0.3691367793
270	0.3686481879
271	0.3683917968
272	0.3678692453
273	0.3673793514
274	0.3670690893
275	0.3663630912
276	0.3658896345
277	0.3655813574
278	0.3649931497
279	0.3642608829
280	0.3639604522
281	0.3634546481
282	0.3627336083
283	0.3623398571
284	0.3619817098
285	0.3614703543
286	0.3610655002
287	0.3607088104
288	0.3603092907
289	0.3599076
290	0.3594195978
291	0.3589655558
292	0.3584061599
293	0.3580686368
294	0.3577167852
295	0.3573573043
296	0.3571395254
297	0.356826348
298	0.3564493133
299	0.3559755465
300	0.3558438929
301	0.3555037956
302	0.3551445628
303	0.3548538084
304	0.354630385
305	0.3542113886
306	0.353760634
307	0.3531787531
308	0.3528225286
309	0.3523531658
310	0.3519234386
311	0.3514984255
312	0.3511263219
313	0.3506283023
314	0.3503446191
315	0.3499228625
316	0.3495349729
317	0.3491742514
318	0.3489685059
319	0.3486350765
320	0.3483348939
321	0.3481751729
322	0.3475847632
323	0.3468235295
324	0.3465759153
325	0.3462932556
326	0.3459782794
327	0.3454227913
328	0.3451494356
329	0.3448748395
330	0.344586194
331	0.3443814409
332	0.3439664143
333	0.3437422776
334	0.3434273945
335	0.3430838856
336	0.3424636717
337	0.3419467027
338	0.3415643956
339	0.3412629414
340	0.3409173857
341	0.340473144
342	0.3401085148
343	0.3399475842
344	0.3397368764
345	0.3394249397
346	0.3391505296
347	0.3387756038
348	0.3384397243
349	0.3381631122
350	0.3379945522
351	0.3377236467
352	0.3374510974
353	0.3369875032
354	0.3368474759
355	0.3365321586
356	0.3362561978
357	0.3359191398
358	0.3357247143
359	0.3354298351
360	0.3352211433
361	0.334750695
362	0.3344162732
363	0.3341070656
364	0.3339274647
365	0.3336572414
366	0.3334835952
367	0.3332636143
368	0.3329126312
369	0.3326854861
370	0.3320443068
371	0.3316862525
372	0.3313616311
373	0.3310291942
374	0.3306645339
375	0.3303315698
376	0.3300480726
377	0.3294454435
378	0.3292319445
379	0.3290257027
380	0.3285622325
381	0.3282887839
382	0.3277580757
383	0.3275638053
384	0.3273402268
385	0.3270544347
386	0.3267997494
387	0.3262811366
388	0.3260035321
389	0.3257612523
390	0.3255630741
391	0.3251415656
392	0.3250296058
393	0.3246441043
394	0.3243786261
395	0.3239241189
396	0.3235950625
397	0.3233225132
398	0.3230719217
399	0.3227738791
400	0.3226151815
401	0.3223234967
402	0.3219970145
403	0.3218111488
404	0.3214418985
405	0.3211128731
406	0.3206963888
407	0.320525906
408	0.3201251146
409	0.3198721351
410	0.3195545228
411	0.3191726809
412	0.31886062
413	0.3183174133
414	0.3180047632
415	0.3177507602
416	0.3172203002
417	0.3167986986
418	0.3165132786
419	0.316311875
420	0.3161328013
421	0.315904974
422	0.3156380072
423	0.3154646711
424	0.3153057564
425	0.3145694267
426	0.3143693877
427	0.3141606028
428	0.3140538534
429	0.3137740779
430	0.313632748
431	0.3134511932
432	0.313028196
433	0.3127659123
434	0.3124841209
435	0.312174076
436	0.3118478418
437	0.3115296403
438	0.3114042825
439	0.3112866782
440	0.3109340203
441	0.310387371
442	0.3102008851
443	0.3100414121
444	0.3097191167
445	0.3093005855
446	0.3091786702
447	0.3089763672
448	0.3088133277
449	0.3086281753
450	0.3082655
451	0.3081221852
452	0.3077008937
453	0.3073257508
454	0.3071645411
455	0.3067091035
456	0.3064442456
457	0.3061639429
458	0.3058232563
459	0.3055609106
460	0.30528526
461	0.3049590568
462	0.3046252243
463	0.3044138342
464	0.304064991
465	0.303932252
466	0.3037760355
467	0.3036658434
468	0.3033897586
469	0.3032091342
470	0.3029660481
471	0.3028235087
472	0.3024972745
473	0.3022372858
474	0.3018834804
475	0.3017310476
476	0.3014036969
477	0.3012154122
478	0.301026197
479	0.3008562104
480	0.3007155628
481	0.3004051146
482	0.3001421486
483	0.299713631
484	0.2993712076
485	0.2991673539
486	0.2987845196
487	0.2984469034
488	0.2980668603
489	0.2977999866
490	0.297661572
491	0.2973381291
492	0.2971321044
493	0.2969091772
494	0.2966493436
495	0.2963807641
496	0.2962464744
497	0.2961280327
498	0.2958453419
499	0.2953169908
500	0.2950019216
501	0.294708252
502	0.294467895
503	0.2941305579
504	0.294047534
505	0.2938710034
506	0.2933686109
507	0.2931964843
508	0.2929640979
509	0.2928059896
510	0.2927449234
511	0.2925244463
512	0.2923082181
513	0.2920695669
514	0.2917647323
515	0.2916669768
516	0.2914264028
517	0.2912710857
518	0.291020153
519	0.2908131669
520	0.2906141824
521	0.290395194
522	0.2902602219
523	0.2899700258
524	0.2897353754
525	0.2894691529
526	0.289237852
527	0.2889003909
528	0.2886541723
529	0.2884876903
530	0.2882189557
531	0.2877576564
532	0.2875076542
533	0.2872608154
534	0.2870785783
535	0.2869748682
536	0.2867697119
537	0.286596965
538	0.2864167438
539	0.2861044039
540	0.2858644191
541	0.2855500012
542	0.2854511912
543	0.2851336099
544	0.2850832435
545	0.2849209793
546	0.284475249
547	0.2843613043
548	0.2841752215
549	0.2840584856
550	0.2838690533
551	0.2836125382
552	0.2833566433
553	0.2831435785
554	0.2829022601
555	0.2825330719
556	0.2823613795
557	0.2822224687
558	0.2818127454
559	0.2816511945
560	0.2812572262
561	0.2810784317
562	0.2806387801
563	0.2802269788
564	0.2799263621
565	0.2795546617
566	0.2793801471
567	0.2792439655
568	0.2790825076
569	0.2789157154
570	0.278562034
571	0.2783314465
572	0.2781625763
573	0.2779234599
574	0.277606685
575	0.2774074523
576	0.2772691308
577	0.2769646993
578	0.2766462497
579	0.2765068116
580	0.2762102577
581	0.2761324751
582	0.2759609688
583	0.2757920056
584	0.2754862716
585	0.2752953196
586	0.2749996651
587	0.2748440068
588	0.2746543574
589	0.2744405483
590	0.2742853552
591	0.2740920772
592	0.2739193924
593	0.273749871
594	0.2736055328
595	0.2735415823
596	0.2734134643
597	0.2731382168
598	0.2730950766
599	0.2728543475
600	0.2727585769
601	0.2724304199
602	0.2721988709
603	0.272003608
604	0.2718111364
605	0.2715117912
606	0.2712112675
607	0.270994419
608	0.2707546513
609	0.2705347635
610	0.27019417
611	0.270066176
612	0.2699683585
613	0.2697659004
614	0.2694169952
615	0.2692196854
616	0.2690484582
617	0.2688611969
618	0.2686644763
619	0.2684368041
620	0.2681360012
621	0.2678304533
622	0.2676302592
623	0.2673607803
624	0.2671769925
625	0.2670147593
626	0.2668271259
627	0.2667283469
628	0.266409339
629	0.2661617248
630	0.2659566616
631	0.2657483419
632	0.2654949281
633	0.2653353311
634	0.2651443171
635	0.2649657397
636	0.2647337254
637	0.2644894608
638	0.2642348375
639	0.2639761824
640	0.2636690527
641	0.2635137977
642	0.2632891337
643	0.2630464817
644	0.262842597
645	0.2625264734
646	0.2624228873
647	0.262197386
648	0.2619577113
649	0.2617524
650	0.2614998546
651	0.2613723569
652	0.2612993194
653	0.2611173614
654	0.2609667274
655	0.260824126
656	0.260657861
657	0.2604126349
658	0.260226304
659	0.2601406439
660	0.2599950651
661	0.2596759951
662	0.2594497805
663	0.2591157929
664	0.2590270624
665	0.2589484889
666	0.2587142417
667	0.2585293219
668	0.25846869
669	0.2584116246
670	0.2582520121
671	0.2581133959
672	0.2579739423
673	0.2577355393
674	0.257643909
675	0.257486545
676	0.2573748643
677	0.2572490878
678	0.2570743096
679	0.2567662805
680	0.2567285367
681	0.2566378058
682	0.2564262452
683	0.256344741
684	0.2562102186
685	0.2560894199
686	0.2559409568
687	0.2556317492
688	0.255443542
689	0.2552532878
690	0.2549998431
691	0.2547387689
692	0.2546800753
693	0.2543989817
694	0.254108553
695	0.2540079753
696	0.2538448427
697	0.2537435516
698	0.2533849701
699	0.2532692111
700	0.2531288426
701	0.2529538317
702	0.2528855549
703	0.2527458687
704	0.2525108772
705	0.2523631739
706	0.2523201113
707	0.2521669807
708	0.2520766219
709	0.2517922254
710	0.2515621806
711	0.2513938997
712	0.2512704182
713	0.251066363
714	0.2509205981
715	0.2507343602
716	0.2504543522
717	0.2501174958
718	0.2500567242
719	0.2497891682
720	0.24951237
721	0.2492911331
722	0.2490049843
723	0.2487282947
724	0.2485741716
725	0.248370473
726	0.2479923682
727	0.2475747209
728	0.2470463543
729	0.2466268927
730	0.2464830197
731	0.246433196
732	0.2461951961
733	0.2460209296
734	0.2458613326
735	0.245585713
736	0.245293656
737	0.2450171835
738	0.2449342681
739	0.2447269874
740	0.2446187802
741	0.2444652464
742	0.2442095687
743	0.243922629
744	0.2436987714
745	0.2435500757
746	0.2431665436
747	0.2429952234
748	0.2427115247
749	0.2425327146
750	0.2423051043
751	0.24224486
752	0.2421385757
753	0.2418147762
754	0.241676098
755	0.2413214707
756	0.2410463473
757	0.2409486383
758	0.2408477659
759	0.2405002873
760	0.2402798102
761	0.2400532234
762	0.2398698388
763	0.2397098076
764	0.2395323932
765	0.2391787118
766	0.2390578665
767	0.2389332841
768	0.2388649917
769	0.2387215529
770	0.2384527718
771	0.2382415834
772	0.2379483324
773	0.2378950817
774	0.2378481268
775	0.2376825906
776	0.237413732
777	0.2373647457
778	0.2370271295
779	0.2368198178
780	0.2367649233
781	0.2365469274
782	0.2362920249
783	0.2361706214
784	0.235940468
785	0.2357913692
786	0.2356416656
787	0.2355182772
788	0.2353971218
789	0.2352845727
790	0.2351507637
791	0.2349045296
792	0.2347382956
793	0.2345308754
794	0.2343329143
795	0.2342069672
796	0.2340037338
797	0.2338406322
798	0.2336443459
799	0.2335050474
800	0.2332110211
801	0.2331834498
802	0.2330677994
803	0.2328950835
804	0.2327694932
805	0.2326408634
806	0.2323587929
807	0.2321653444
808	0.2320738847
809	0.2318695813
810	0.2316476775
811	0.2315384159
812	0.231316078
813	0.2308537553
814	0.2306252921
